宁都县城郊卫生院土围诊所,NDXCJWSYTWZS,DWI00023562
市山镇梓和村卫生所（叶春贤）,SSZHCWSSYCX,DWI00018328
瑞昌市雷家林社区卫生服务站,RCSLJLSQWSFWZ,DWI00007806
白塘街道螺川铜鼓岭村卫生室,BTJDLCTGLCWSS,DWI00016048
良富村第二卫生所（定南县）,LFCDEWSSDNX,DWI00001865
芦岭村卫生所三点（刘建伟）,LLCWSSSDLJW,DWI00008787
芦溪县芦溪镇温埠村卫生分所,LXXLXZWBCWSFS,DWI00018701
萍乡市湘东区民心平价大药房,PXSXDQMXPJDYF,DWI00020211
遂川县左安镇园溪村大众药房,SCXZAZYXCDZYF,DWI00021174
铜鼓县新禧日用化工厂医务室,TGXXRYHGCYWS,DWI00000745
镙岭村卫生所徐建斌卫卫生室,LCWSSXJBWWSS,DWI00018425
高安市健康人大药房西湖分店,GASJKRDYFXHFD,DWI00019249
高家官庄村卫生所（何松财）,GJGZCWSSHSC,DWI00009752
陶凤娟西医诊所,TFJXYZS,DWI00007720
靖安县仁首药店,JAXRSYD,DWI00002687
靖安县健安药店,JAXJAYD,DWI00002549
靖安县曾氏药房,JAXZSYF,DWI00002541
高安市八景药店,GASBJYD,DWI00003184
高安市安居药房,GASAJYF,DWI00019976
高安市明强药店,GASMQYD,DWI00002407
高安市相城药店,GASXCYD,DWI00018339
鸬鹚程金生诊所,CJSZS,DWI00002713
鹰潭市百年药店,YTSBNYD,DWI00001657
涌山车溪村卫生所库前村医疗点(朱宗国),YSCXCWSSKQCYLD(ZZG),DWI00008797
众康药店,ZKYD,DWI00002789
周一芬诊所,ZYFZS,DWI00024450
西溪卫生院,XXWSY,DWI00024438
寨下村卫生所,ZXCWSS,DWI00022923
赣州长安医院,GZCAYY,DWI00022896
宜丰县黄岗药店,YFXHGYD,DWI00017362
遂川县遂意药铺,SCXSYYP,DWI00000818
丽水市康达堂药店,LSSKDTYD,DWI00024383
乐平市天赐大药房,LPSTCDYF,DWI00024448
信丰县人和大药房,XFXRHDYF,DWI00024404
吉水县康源大药房,JSXKYDYF,DWI00024465
奉化市启元大药房,FHSQYDYF,DWI00009041
平田村陈屋卫生所,PTCCWWSS,DWI00022656
石城县慧明大药房,SCXHMDYF,DWI00024457
石陂村上桥卫生所,SCSQWSS,DWI00022937
章贡区上佳大药房,ZGQSJDYF,DWI00024503
资溪县开元大药房,ZXXKYDYF,DWI00024146
铜鼓县卫协会诊所,TGXWXHZS,DWI00004447
上饶县红心堂大药房,SRXHXTDYF,DWI00024432
九江市宝芝林大药房,JJSBZLDYF,DWI00019538
干洲镇前进村卫生所,GZZQJCWSS,DWI00003847
永修县恒丰恒康药店,YXXHFHKYD,DWI00018526
滨江乡山背村卫生所,BJXSBCWSS,DWI00023139
金龙镇天龙村卫生所,JLZTLCWSS,DWI00006289
高松涛西医内科诊所,GSTXYNKZS,DWI00009970
宁都县长春人和大药房,NDXCCRHDYF,DWI00019391
安福县金田中心卫生院,AFXJTZXWSY,DWI00018239
安远县孔田友邦大药房,AYXKTYBDYF,DWI00015761
吉安县敖城镇旷家卫生所,JAXACZKJWSS,DWI00019062
泗沥镇新塘村楼梯卫生室,LZXTCLTWSS,DWI00023142
观巢镇共青村第一卫生所,GCZGQCDYWSS,DWI00023978
鄱阳县健康开心人大药房,YXJKKXRDYF,DWI00024008
宜春江南医药有限公司(二),YCJNYYYXGS(E),DWI00024542
都昌县大港镇大港村卫生所,DCXDGZDGCWSS,DWI00024000
南康市东山村吴春娇卫生所*,NKSDSCWCJWSS*,DWI00020918
沂江乡务丰村卫生室(杨金辉),YJXWFCWSS(YJH),DWI00023941
上犹县黄埠镇卫生院附设门诊,SYXHBZWSYFSMZ,DWI00009359
青龙镇青龙社区卫生服务中心,QLZQLSQWSFWZX,DWI00017360
韶口泥塘村卫生所（谢暖基）,SKNTCWSSXNJ,DWI00018300
梅林镇梅林新区社区卫生服务站,MLZMLXQSQWSFWZ,DWI00024519
宜丰县九九红大药房有限责任公司,YFXJJHDYFYXZRGS,DWI00000237
湖口县流芳卫生院,HKXLFWSY,DWI00016421
礼林甘棠村卫生所,LLGTCWSS,DWI00024506
九江市赛湖农场医院,JJSSHNCYY,DWI00010333
玉山县鑫隆堂大药房,YSXLTDYF,DWI00021757
玉山县童坊药店（连）,YSXTFYDL,DWI00003190
丰城市如意大药房新城店,FCSRYDYFXCD,DWI00016472
城北办富塘村第二卫生所,CBBFTCDEWSS,DWI00022837
玉山县仙岩镇药店（连）,YSXXYZYDL,DWI00003123
观巢镇上沂村第二卫生所,GCZSYCDEWSS,DWI00023980
平定乡石艾村卫生所二分所,PDXSACWSSEFS,DWI00022302
金溪县何源中心卫生院,JXXHYZXWSY,DWI00005362
铅山县湖坊同春祥药房,QSXHFTCXYF,DWI00003768
银城镇卫生院新营分院,YCZWSYXYFY,DWI00016319
银城镇女儿田村卫生所,YCZNETCWSS,DWI00020139
青原区新圩中心卫生院,QYQXZXWSY,DWI00000196
万载县三兴联合诊所一门诊,WZXSXLHZSYMZ,DWI00020577
万载县三兴镇湖源村卫生所,WZXSXZHYCWSS,DWI00019131
万载县三兴镇闹坪村卫生所,WZXSXZNPCWSS,DWI00017897
万载县仙源乡新市村卫生所,WZXXYXXSCWSS,DWI00017872
万载县高村镇歧源村卫生所,WZXGCZQYCWSS,DWI00017898
万载县高村镇高村村卫生所,WZXGCZGCCWSS,DWI00019057
三十里康卫生所康道宗诊室,SSLKWSSKDZZS,DWI00019243
三村圩村卫生所占晓慧诊室,SCCWSSZXHZS,DWI00020504
三标乡甲子乌村第一卫生所,SBXJZWCDYWSS,DWI00006655
上犹县妇幼保健院东山门诊,SYXFYBJYDSMZ,DWI00005745
上饶市信州区灵溪华茂药房,SRSXZQLXHMYF,DWI00014821
上高县中医院建设南路门诊,SGXZYYJSNLMZ,DWI00020990
丰城市万仁大药房人民路店,FCSWRDYFRMLD,DWI00019112
乐安县湖坪乡街上村卫生所,LAXHPXJSCWSS,DWI00017964
乐安县牛田镇牛田村卫生所,LAXNTZNTCWSS,DWI00017990
九江县医药公司黄老门药店,JJXYYGSHLMYD,DWI00013033
于都县靖石乡杨梅村卫生所,YDXJSXYMCWSS,DWI00016606
南城县沙洲镇余家墩卫生所,NCXSZZYJDWSS,DWI00009457
南康市东山村吴春娇卫生所,NKSDSCWCJWSS,DWI00009501
南康市李村村赖圣福卫生所,NKSLCCLSFWSS,DWI00009320
南康市麻双乡圩下村卫生所,NKSMSXXCWSS,DWI00014163
南康效权平价大药房金鸡店,NKXQPJDYFJJD,DWI00017479
古县渡镇鸳鸯村熊金水诊室,GXDZYYCXJSZS,DWI00018544
奉新县干洲镇洪川村卫生所,FXXGZZHCCWSS,DWI00000036
宁都县医药总公司对坊药店,NDXYYZGSDFYD,DWI00019989
宁都县医药总公司田头药店,NDXYYZGSTTYD,DWI00019988
宁都县医药总公司长寿药店,NDXYYZGSCSYD,DWI00015102
宁都县医药总公司黄石药店,NDXYYZGSHSYD,DWI00021024
湖南时代阳光医药有限公司,HNSDYGYYYXGS,DWI00011292
泰和县冠朝镇健民药店,THXGCZJMYD,DWI00014237
泰和县文田庆仁堂药店,THXWTQRTYD,DWI00019684
泰和县沙村镇沙村药房,THXSCZSCYF,DWI00019389
泰和县禾市镇同心药店,THXHSZTXYD,DWI00002303
泰和县螺溪镇开春药店,THXLXZKCYD,DWI00001556
泰和县螺溪镇永源药店,THXLXZYYYD,DWI00001828
泰和县马市镇爱心药店,THXMSZAXYD,DWI00019462
浔阳区同仁健康大药房,YQTRJKDYF,DWI00016650
浮梁马海根内儿科诊所,FLMHGNEKZS,DWI00017887
湖口县舜德中心卫生院,HKXSDZXWSY,DWI00011030
潭头乡杨梅江村卫生室,TTXYMJCWSS,DWI00018566
玉山县临湖镇金元药店,YSXLHZJYYD,DWI00002477
玉山县南山乡惠仁药店,YSXNSXHRYD,DWI00016064
玉山县国春堂药店二部,YSXGCTYDEB,DWI00000997
瑞昌市肇陈镇肇陈药店,RCSZCZZCYD,DWI00009091
石城县小松镇宏茂药店,SCXXSZHMYD,DWI00012979
石城县琴江镇开心药店,SCXQJZKXYD,DWI00012799
稻香村大药房北京路店,DXCDYFBJLD,DWI00015753
芦溪县宣风和平大药房,LXXXFHPDYF,DWI00013661
芦溪县源南和平大药房,LXXYNHPDYF,DWI00019271
贵溪市周坊利民大药房,GXSZFLMDYF,DWI00021084
贵溪市塘湾仁和大药房,GXSTWRHDYF,DWI00020804
贵溪市志光平安大药房,GXSZGPADYF,DWI00008970
赣县友邦大药房梅林店,GXYBDYFMLD,DWI00006598
赣县王母渡友邦大药房,GXWMDYBDYF,DWI00016913
赣州医药有限责任公司,GZYYYXZRGS,DWI00014458
赣州市章贡区华兴药店,GZSZGQHXYD,DWI00010174
赣州市章贡区友华药店,GZSZGQYHYD,DWI00010409
赣州鑫龙医药有限公司,GZLYYYXGS,DWI00006376
遂川县左安镇大众药房,SCXZAZDZYF,DWI00002240
遂川县汤湖镇宇盛药店,SCXTHZYSYD,DWI00002516
遂川县草林镇紫馨药店,SCXCLZZYD,DWI00017821
邻都村卫生所第四分所,LDCWSSDSFS,DWI00007001
郑福仙西医内儿科诊所,ZFXXYNEKZS,DWI00008901
鄱阳县桥头乡荻溪药店,YXQTXXYD,DWI00014934
鄱阳县莲山乡回春药店,YXLSXHCYD,DWI00015925
鄱阳县鄱阳镇便民药店,YXYZBMYD,DWI00005109
鄱阳县饶埠镇自荣药店,YXRBZZRYD,DWI00000850
鄱阳镇汊村张桂枝诊室,YZCZGZZS,DWI00021030
会昌县西江镇桥头吉泰大药房,HCXXJZQTJTDYF,DWI00018791
共库坝首村医疗点（石鉴文）,GKBSCYLDSJW,DWI00008088
南康市龙华乡海春平价大药房,NKSLHXHCPJDYF,DWI00005554
南康效权平价大药房广场药店,NKXQPJDYFGCYD,DWI00002453
双田德民村卫生所（徐胜良）,STDMCWSSXSL,DWI00001805
双田范家村卫生所（范垂照）,STFJCWSSFCZ,DWI00001483
双田龙珠村卫生所（徐正华）,STLZCWSSXZH,DWI00004368
吉安市老百姓大药房有限公司,JASLBXDYFYXGS,DWI00006719
吉州区白塘卫生院螺川医疗点,JZQBTWSYLCYLD,DWI00006720
江西省靖安县水口乡水口村卫生所,JXSJAXSKXSKCWSS,DWI00002794
江西省靖安县烟竹采育林场卫生所,JXSJAXYZCYLCWSS,DWI00002694
江西省靖安县高湖镇山口村卫生所,JXSJAXGHZSKCWSS,DWI00002979
江西省靖安县高湖镇西头村卫生所,JXSJAXGHZXTCWSS,DWI00001141
江西省靖安县高湖镇高湖村卫生所,JXSJAXGHZGHCWSS,DWI00002796
浪溪村卫生所第四分所（方爱林）,LXCWSSDSFSFAL,DWI00007295
玉亭镇孙家村卫生所龚报国卫生室,YTZSJCWSSGBGWSS,DWI00010534
罗城镇横坑村卫生所兰云星医疗点,LCZHKCWSSLYXYLD,DWI00006037
萍乡经济开发区光丰管理处卫生所,PXJJKFQGFGLCWSS,DWI00014378
东上乡瑶前村卫生室,DSXYQCWSS,DWI00022938
徐医师大药房,XYSDYF,DWI00015707
樟树市湛溪卫生院,ZSSZXWSY,DWI00017476
南城县城北新区医院,NCXCBXQYY,DWI00009342
后港镇太田村卫生所,HGZTTCWSS,DWI00022179
德安县开心人大药房,DAXKXRDYF,DWI00022695
湖口大垅卢岭村卫生所,HKDLLCWSS,DWI00011085
接渡钟家卫生所(金建华),JDZJWSS(JJH),DWI00008510
敖溪镇案山村卫生所(乐安),AXZASCWSS(LA),DWI00006413
乐安县龚坊镇浯塘村卫生所,LAXGFZTCWSS,DWI00018017
沂江乡沂江村卫生室(刘小华),YJXYJCWSS(LXH),DWI00023900
东山街办上坪村冯起林卫生所,DSJBSPCFQLWSS,DWI00019359
居委会卫生所第三分所(易先兵),JWHWSSDSFS(YXB),DWI00006844
江西省吉安县医药公司天矿药店,JXSJAXYYGSTKYD,DWI00001422
罗坊镇罗家村第一卫生所(胡冬牯),LFZLJCDYWSS(HD),DWI00014707
赣州友邦大药房零售连锁有限公司张家围分店,GZYBDYFLSLSYXGSZJWFD,DWI00024006
小荣药店,XRYD,DWI00008768
李辉诊所,LHZS,DWI00017623
立杨药房,LYYF,DWI00021392
健康园药店,JKYYD,DWI00003374
占兴泉诊所,ZXQZS,DWI00002184
市山卫生院,SSWSY,DWI00015901
曾辉卫生所,ZHWSS,DWI00019858
杏苑大药房,XYDYF,DWI00016970
立交桥诊所,LJQZS,DWI00018966
宜春市袁州区康康大药房,YCSYZQKKDYF,DWI00016496
寻乌县红十字会第二门诊,XWXHSZHDEMZ,DWI00008701
峡江县仁和药店,XJXRHYD,DWI00003202
峡江县百姓药店,XJXBXYD,DWI00006196
峡江县金江药店,XJXJJYD,DWI00009364
广丰县横山药店,GFXHSYD,DWI00004204
张寒松中医诊所,ZHSZYZS,DWI00001472
德兴市冬英药店,DXSDYYD,DWI00008191
抚州市第五医院,FZSDWYY,DWI00001535
新干县东门药店,XGXDMYD,DWI00020969
樟树市放心药店,ZSSFXYD,DWI00016186
永修县恒丰药店,YXXHFYD,DWI00021020
永修县燕坊药房,YXXYFYF,DWI00018918
玉山县大众药房,YSXDZYF,DWI00008477
资溪为民大药房,ZXWMDYF,DWI00009705
赣县友邦大药房,GXYBDYF,DWI00003204
赣州市虔民药店,GZSMYD,DWI00010763
赣州金康大药房,GZJKDYF,DWI00010134
鄱阳县放心药店,YXFXYD,DWI00014753
金溪县利民药店,JXXLMYD,DWI00021391
铅山县益康药店,QSXYKYD,DWI00006142
高安市桥南药房,GASQNYF,DWI00020922
高安市济群药店,GASJQYD,DWI00020467
高安市维康药店,GASWKYD,DWI00017585
余干县云峰药店*,YGXYFYD*,DWI00001881
张铸诊所(湖口县),ZZZS(HKX),DWI00008574
万载县聚仁堂药店,WZXJRTYD,DWI00005919
于都县梓山镇塘贯村卫生所大山医疗点,YDXSZTGCWSSDSYLD,DWI00016672
南城县沙洲镇沙洲村卫生所（胥小平）,NCXSZZSZCWSSXP,DWI00009341
南康市横市镇禾田村卫生所（田冬华）,NKSHSZHTCWSSTDH,DWI00013974
南康市横市镇长南村卫生所（方代发）,NKSHSZCNCWSSFDF,DWI00014874
吉安市吉州区同康堂大药房韶山西路店,JASJZQTKTDYFSSXLD,DWI00020646
大塘埠镇大塘村第一卫生所（付联忠）,DTBZDTCDYWSSFLZ,DWI00010941
奉新冯客隆实业有限公司冯客隆大药房,FXFKLSYYXGSFKLDYF,DWI00001574
宜黄县棠阴镇民主村卫生所（邹长振）,YHXTYZMZCWSSZCZ,DWI00017509
江西上饶医药股份有限公司玉山配送站,JXSRYYGFYXGSYSPSZ,DWI00002443
江西盛和医药连锁有限公司遂川志祥店,JXSHYYLSYXGSSCZXD,DWI00021290
海会镇青山村卫生所青山垦殖场卫生所,HHZQSCWSSQSKZCWSS,DWI00016320
礼林午泥坂村卫生所医疗点（洪发明）,LLWNCWSSYLDHFM,DWI00008272
赣州市章贡区水南镇长塘村苑田诊所(张光民),GZSZGQSNZCTCYTZS(ZGM),DWI00015845
江西百姓同泰药房连锁有限公司南昌阳明路店,JXBXTTYFLSYXGSNCYMLD,DWI00008118
江西赣药集团全新医药有限公司浔阳赣药大药房,JXGYJTQXYYYXGSYGYDYF,DWI00021355
赣州友邦大药房零售连锁有限公司湖边神威分店,GZYBDYFLSLSYXGSHBSWFD,DWI00020421
江西省医药集团新余公司新庆余堂连锁总店仙来药店,JXSYYJTXYGSXQYTLSZDXLYD,DWI00018462
江西省医药集团新余公司新庆余堂连锁总店康居药店,JXSYYJTXYGSXQYTLSZDKJYD,DWI00008777
南坑村卫生所(卢太阳),NKCWSS(LTY),DWI00010694
芦丰村卫生所(胡真毅),LFCWSS(HZY),DWI00007059
上饶市信州区健康药房,SRSXZQJKYF,DWI00021357
乐平市华荣老百姓药房,LPSHRLBXYF,DWI00009405
南康市连城平价大药房,NKSLCPJDYF,DWI00008855
凰岗镇石家村刘义钦诊室,HGZSJCLYQZS,DWI00018403
吉安市吉州区康源大药房,JASJZQKYDYF,DWI00021297
大港村卫生所（朱才军）,DGCWSSZCJ,DWI00006698
宜春市袁州区人人大药房,YCSYZQRRDYF,DWI00005475
龙冈畲族乡表湖村卫生室,LGZXBHCWSS,DWI00018567
龙城镇马湖村卫生所(程君),LCZMHCWSS(CJ),DWI00007971
三村圩村卫生所杨庆义诊室,SCCWSSYQYZS,DWI00020513
江洲镇槐洲村卫生所(刘小球),JZZHZCWSS(LXQ),DWI00017870
赤田镇段里村卫生所(奉新县),CTZDLCWSS(FXX),DWI00001210
南城县沙洲镇水口村卫生所(李绛),NCXSZZSKCWSS(L),DWI00004348
马回岭蔡桥村卫生所分所(周启君),MHLCQCWSSFS(ZQJ),DWI00013367
九江经济技术开发区人民平价大药房九瑞店,JJJJJSKFQRMPJDYFJRD,DWI00018968
城区王绳琨诊所,CQWSZS,DWI00003992
婺源县利民药店,YXLMYD,DWI00002290
峡江县开心药店,XJXKXYD,DWI00001485
德兴市平安药房,DXSPAYF,DWI00020142
熊红钢中医诊所,XHGZYZS,DWI00006676
赣州平民大药房,GZPMDYF,DWI00020747
高安市新街药店,GASXJYD,DWI00018346
文陂卫生院(吉安),WWSY(JA),DWI00004147
赣州春和生大药房,GZCHSDYF,DWI00014436
永丰县人人大药房*,YFXRRDYF*,DWI00000241
万载县柏树文辉药店,WZXBSWHYD,DWI00003183
东乡县邓家乡卫生院,DXXDJXWSY,DWI00018244
临川章会云中医诊所,LCZHYZYZS,DWI00014189
余江县建安堂大药房,YJXJATDYF,DWI00008531
赣州经济技术开发区一健堂大药房,GZJJJSKFQYJTDYF,DWI00019756
鄱阳县响水滩卫生院肖家岭门诊部,YXXSTWSYXJLMZB,DWI00020521
铁山垅镇丰田村卫生所村部医疗点,TSZFTCWSSCBYLD,DWI00020991
大塘埠镇营仔村第一卫生所(刘佳洁),DTBZYZCDYWSS(LJJ),DWI00013916
平定乡东脑村卫生所一分所(蔡甜模),PDXDNCWSSYFS(CTM),DWI00012941
泗洲镇祝家村卫生所第六诊室(李鸿),ZZZJCWSSDLZS(LH),DWI00009674
湖口县三里卫生院三门诊部(喻章新),HKXSLWSYSMZB(YZX),DWI00015536
都昌县南峰乡余晃村卫生所(余纯金),DCXNFXYHCWSS(YCJ),DWI00020395
金山居委会卫生所黄山成员(余胜兵),JSJWHWSSHSCY(YSB),DWI00007072
铁石口镇高桥村第四卫生所(刘章国),TSKZGQCDSWSS(LZG),DWI00012788
马当镇居委会卫生所第七分所(汪倜),MDZJWHWSSDQFS(W),DWI00007089
九江市民生大药房有限公司大树下店,JJSMSDYFYXGSDSXD,DWI00020936
余干开心人大药房有限公司下关分店,YGKXRDYFYXGSXGFD,DWI00013745
双田老睦村卫生所医疗点（徐盛圩）,STLMCWSSYLDXS,DWI00005934
双田黄岭村卫生所医疗点（唐晓虎）,STHLCWSSYLDTXH,DWI00001806
大桥镇大田村第二卫生所（魏卫平）,DQZDTCDEWSSWWP,DWI00014985
彭泽县浪溪百圩村卫生所（张国习）,PZXLXBCWSSZGX,DWI00007298
江西省医药集团新余公司水西一分店,JXSYYJTXYGSSXYFD,DWI00015561
礼林新城村卫生所医疗点（邱友钍）,LLXCCWSSYLDQY,DWI00008257
信丰县嘉定镇竹子岭村卫生所(王家虎),XFXJDZZZLCWSS(WJH),DWI00013073
江西鑫淦医药有限公司(原新干县公司),JXYYYXGS(YXGXGS),DWI00000296
沙河街道东风村卫生所四分所(陈是暑),SHJDDFCWSSSFS(CSS),DWI00013262
赣州市仁心大药房连锁有限公司(刘水),GZSRXDYFLSYXGS(LS),DWI00016101
龙南县杨村镇蔡屋村卫生二所(蔡泽民),LNXYCZCWCWSES(CZM),DWI00016858
九江市人民路街道桃园社区卫生服务站,JJSRMLJDTYSQWSFWZ,DWI00007845
罗河镇新田村卫生所,LHZXTCWSS,DWI00022357
上饶县寿芝堂大药房二店,SRXSZTDYFED,DWI00017349
于都县岭背镇阳田村卫生所,YDXLBZYTCWSS,DWI00018431
湖口县金沙湾工业园卫生所,HKXJSWGYYWSS,DWI00015077
玉山县百草堂药房姜家山店*,YSXBCTYFJJSD*,DWI00024157
众埠共树村卫生所,ZBGSCWSS,DWI00024025
漳溪村卫生所程礼海诊室,ZXCWSSCLHZS,DWI00020488
彭泽县芙蓉农场一分场卫生所第一分所（陆蔚平),PZXRNCYFCWSSDYFSLWP),DWI00006364
后港徐家坂村卫生所,HGXJCWSS,DWI00022806
梅林镇双龙村卫生所,MLZSLCWSS,DWI00018774
华尔康大药房龙南药店,HEKDYFLNYD,DWI00003294
大洋州镇杨家村卫生室,DYZZYJCWSS,DWI00018270
泰和县上模乡高芫村卫生所,THXSMXGCWSS,DWI00022776
章贡区协康药店,ZGQXKYD,DWI00024393
武宁县罗坪大药房,WNXLPDYF,DWI00022945
石城县回春大药房,SCXHCDYF,DWI00023898
赣县华仁康大药房,GXHRKDYF,DWI00024224
上饶县寿芝堂大药房三店,SRXSZTDYFSD,DWI00024250
于都岭背镇下拨村卫生所,YDLBZXBCWSS,DWI00016327
黄埠镇黄沙村英稍卫生分所,HBZHSCYSWSFS,DWI00012814
抚州市临川区医药公司大岗药店,FZSLCQYYGSDGYD,DWI00018414
赣州市协记大药房有限公司东桥店,GZSXJDYFYXGSDQD,DWI00009818
上犹县紫荆大药房,SYXZJDYF,DWI00001871
塔前镇科山卫生所,TQZKSWSS,DWI00021824
宁都县华康大药堂,NDXHKDYT,DWI00002511
崇义县如意大药房,CYXRYDYF,DWI00023648
河北村卫生分所(毛一化),HBCWSFS(MYH),DWI00001736
林燕诊所,LYZS,DWI00004917
彭坳村卫生所,PCWSS,DWI00007030
礼林村卫生所,LLCWSS,DWI00023201
城区康复门诊部,CQKFMZB,DWI00009552
毛村中心卫生院,MCZXWSY,DWI00008455
建宁县常春大药店,JNXCCDYD,DWI00006174
新干县康源大药房,XGXKYDYF,DWI00013970
紫阳镇汤村卫生室,ZYZTCWSS,DWI00023406
鹰潭市民生大药房,YTSMSDYF,DWI00018112
四股桥黄珠村卫生室,SGQHZCWSS,DWI00019739
欧里镇带元村卫生所,OLZDYCWSS,DWI00018678
吉安县安塘乡胜利药店,JAXATXSLYD,DWI00001349
宁化县茶湖江村卫生所,NHXCHJCWSS,DWI00016117
黄家山村卫生所(周元辉),HJSCWSS(ZYH),DWI00002200
鹤城镇西郊卫生所(郑文清),HCZXJWSS(ZWQ),DWI00021697
吉安市吉州区五岳观大药房,JASJZQWYGDYF,DWI00022733
赣州市协记大药房有限公司,GZSXJDYFYXGS,DWI00000932
新建县石岗罗家渡罗玉平诊所,XJXSGLJDLYPZS,DWI00024178
建山新桥卫生所,JSXQWSS,DWI00005837
戴长根中医诊所,DCGZYZS,DWI00010117
樟树市阜康药店,ZSSFKYD,DWI00005164
上饶县放心大药房,SRXFXDYF,DWI00022033
丽水市顺民大药房,LSSSMDYF,DWI00023086
雄石村蒋敬卫生室,XSCJJWSS,DWI00022331
涂埠镇杨师村卫生所,TBZYSCWSS,DWI00021501
鄱阳县银宝湖百姓药房,YXYBHBXYF,DWI00024165
正平镇正平村第七卫生所,ZPZZPCDQWSS,DWI00021855
九江县沙河经济技术开发区卫生院(李堂前),JJXSHJJJSKFQWSY(LTQ),DWI00016695
江西省新余市医药总公司新庆余堂连锁药店人民分店,JXSXYSYYZGSXQYTLSYDRMFD,DWI00024064
金龙镇树凹村卫生所,JLZSACWSS,DWI00009437
金龙镇河背村卫生所,JLZHBCWSS,DWI00022708
高安市新中原大药房,GASXZYDYF,DWI00018347
乐安县好医生大药房*,LAXHYSDYF*,DWI00024734
南康效权平价大药房*,NKXQPJDYF*,DWI00024788
新溪村卫生所(袁小莉),XXCWSS(YXL),DWI00010915
汤村村卫生所(刘晓江),TCCWSS(LXJ),DWI00008400
晨光镇大仙背村卫生所,CGZDXBCWSS,DWI00006650
普正药业股份有限公司,PZYYGFYXGS,DWI00023949
江西汉为药业有限公司,JXHWYYYXGS,DWI00024662
玉山县仙岩镇利民药店,YSXXYZLMYD,DWI00005183
童家镇咀上苏阜兴诊所,TJZJSSFXZS,DWI00021959
恩江镇花园村卫生室一所,EJZHYCWSSYS,DWI00024595
瑞昌市码头金钥匙大药房,RCSMTJYCDYF,DWI00024735
罗坊镇川里村第一卫生所,LFZCLCDYWSS,DWI00022242
后港陶兴村卫生所(王贻琴),HGTXCWSS(WQ),DWI00022135
广丰县永丰卫生所(徐康军),GFXYFWSS(XKJ),DWI00002373
于都县宽田乡寨面村卫生所,YDXKTXZMCWSS,DWI00016528
江西国大医药有限责任公司,JXGDYYYXZRGS,DWI00004403
威家镇威家村卫生所(张纳新),WJZWJCWSS(ZNX),DWI00016408
新圩镇新圩村卫生所(陈桂平),XZXCWSS(CGP),DWI00024350
螺田镇新建村卫生所(周振国),LTZXJCWSS(ZZG),DWI00000300
韶口乡田西村卫生所（谢文）,SKXTXCWSSXW,DWI00018177
南垅村卫生所第一分所(汪胜云),NCWSSDYFS(WSY),DWI00007083
景德镇市心贴心大药房有限公司,JDZSXTXDYFYXGS,DWI00006317
罗江乡前村村卫生所肖屋组医疗点,LJXQCCWSSXWZYLD,DWI00023249
西峰村卫生所第一分所（石建军）,XFCWSSDYFSSJJ,DWI00007022
赣州鑫龙医药有限公司张家围大药房,GZLYYYXGSZJWDYF,DWI00024134
鄱阳县湖城健康开心人大药房城北店,YXHCJKKXRDYFCBD,DWI00023480
龙南县杨村镇车田村卫生一所(赖吉石),LNXYCZCTCWSYS(LJS),DWI00016860
赣州市章贡区水南镇瑞金路廖柄林诊所,GZSZGQSNZRJLLBLZS,DWI00016256
湖口县流芳乡流芳村卫生所第二点(朱敏),HKXLFXLFCWSSDED(ZM),DWI00015838
罗富春诊所,LFCZS,DWI00004189
胥文峰诊所,WFZS,DWI00000747
观上卫生院,GSWSY,DWI00000114
邓秀贞诊所,DXZZS,DWI00017473
饶恒进诊所,RHJZS,DWI00009371
高望华诊所,GWHZS,DWI00001356
黄鲁根诊所,HLGZS,DWI00004480
七里村卫生所,QLCWSS,DWI00008010
东洪村卫生所,DHCWSS,DWI00006088
严辉村卫生室,YHCWSS,DWI00021190
五马村卫生所,WMCWSS,DWI00014859
兴隆村卫生所,XLCWSS,DWI00006691
双湖村卫生所,SHCWSS,DWI00016814
后埠街卫生所,HBJWSS,DWI00003894
均郑村卫生室,JZCWSS,DWI00009098
奉新县中医院,FXXZYY,DWI00000043
川里村卫生所,CLCWSS,DWI00004047
康鑫参茸药店,KCRYD,DWI00002640
建坪村卫生所,JPCWSS,DWI00008666
桥头村卫生所,QTCWSS,DWI00005879
横路村卫生所,HLCWSS,DWI00005716
沿沙村卫生室,YSCWSS,DWI00020733
洋湖村卫生所,YHCWSS,DWI00000235
灵潭皇隆诊所,LTHLZS,DWI00009402
王华中医诊所,WHZYZS,DWI00019638
程毛村卫生所,CMCWSS,DWI00012929
繁荣村卫生所,FRCWSS,DWI00020505
花园村卫生所,HYCWSS,DWI00010140
花溪村卫生所,HXCWSS,DWI00015863
萍乡仁康药房,PXRKYF,DWI00014535
虹桥村卫生所,HQCWSS,DWI00018817
许坊村卫生室,XFCWSS,DWI00006752
赣县仁杏药店,GXRXYD,DWI00018576
赣县吉埠药房,GXJBYF,DWI00014537
赣州黄金医院,GZHJYY,DWI00010532
长天村卫生室,CTCWSS,DWI00006442
高安红梅诊所,GAHMZS,DWI00019769
齐贤村卫生所,QXCWSS,DWI00014012
同济堂大药房*,TJTDYF*,DWI00000338
万年县南溪药店,WNXNXYD,DWI00005796
万载县人民医院,WZXRMYY,DWI00018961
万载县群众药店,WZXQZYD,DWI00010886
上饶县利群药店,SRXLQYD,DWI00003723
上高县百姓药店,SGXBXYD,DWI00019547
